Merchant_Name,Industry,Location
Gamma Electronics 140,Electronics,"New York, USA"
Beta Retail 359,Electronics,"New York, USA"
Beta Retail 754,Sports,"London, UK"
Epsilon Pharma 477,Retail,"Los Angeles, USA"
Gamma Electronics 462,Sports,"Dubai, UAE"
Epsilon Pharma 369,Electronics,"Paris, France"
Epsilon Pharma 664,Fashion,"London, UK"
Delta Foods 543,Electronics,"Berlin, Germany"
Alpha Traders 296,Fashion,"Paris, France"
Gamma Electronics 736,Retail,"Berlin, Germany"
Sigma Tech 985,Sports,"Los Angeles, USA"
Lambda Books 308,Retail,"Berlin, Germany"
Alpha Traders 619,Fashion,"Dubai, UAE"
Beta Retail 341,Fashion,"Berlin, Germany"
Omega Fashion 512,Electronics,"Dubai, UAE"
Epsilon Pharma 318,Pharmaceuticals,"Tokyo, Japan"
Sigma Tech 660,Technology,"London, UK"
Sigma Tech 669,Books,"Dubai, UAE"
Lambda Books 164,Electronics,"Berlin, Germany"
Epsilon Pharma 100,Sports,"Tokyo, Japan"
Kappa Sports 705,Sports,"Los Angeles, USA"
Omega Fashion 145,Retail,"New York, USA"
Gamma Electronics 596,Technology,"Los Angeles, USA"
Omega Fashion 966,Fashion,"Sydney, Australia"
Zeta Furnishings 999,Technology,"Dubai, UAE"
Gamma Electronics 935,Pharmaceuticals,"Sydney, Australia"
Epsilon Pharma 109,Electronics,"Paris, France"
Gamma Electronics 135,Sports,"Berlin, Germany"
Epsilon Pharma 838,Fashion,"Sydney, Australia"
Zeta Furnishings 829,Pharmaceuticals,"Tokyo, Japan"
Lambda Books 377,Retail,"Berlin, Germany"
Beta Retail 315,Technology,"Berlin, Germany"
Beta Retail 489,Books,"Dubai, UAE"
Omega Fashion 447,Retail,"Berlin, Germany"
Zeta Furnishings 895,Retail,"Berlin, Germany"
Omega Fashion 612,Technology,"Mumbai, India"
Zeta Furnishings 478,Books,"Tokyo, Japan"
Epsilon Pharma 666,Retail,"Dubai, UAE"
Delta Foods 592,Electronics,"New York, USA"
Alpha Traders 751,Retail,"Sydney, Australia"
Alpha Traders 798,Food & Beverage,"London, UK"
Zeta Furnishings 252,Technology,"Sydney, Australia"
Beta Retail 239,Retail,"Tokyo, Japan"
Zeta Furnishings 886,Fashion,"Berlin, Germany"
Beta Retail 253,Technology,"New York, USA"
Gamma Electronics 168,Sports,"London, UK"
Zeta Furnishings 454,Technology,"Berlin, Germany"
Omega Fashion 852,Fashion,"New York, USA"
Zeta Furnishings 752,Technology,"Berlin, Germany"
Beta Retail 343,Pharmaceuticals,"New York, USA"
Zeta Furnishings 531,Books,"Mumbai, India"
Kappa Sports 808,Retail,"Los Angeles, USA"
Gamma Electronics 280,Food & Beverage,"Dubai, UAE"
Omega Fashion 204,Books,"Los Angeles, USA"
Omega Fashion 209,Pharmaceuticals,"New York, USA"
Delta Foods 594,Pharmaceuticals,"Paris, France"
Delta Foods 352,Food & Beverage,"Dubai, UAE"
Beta Retail 955,Food & Beverage,"London, UK"
Alpha Traders 561,Sports,"Paris, France"
Kappa Sports 716,Food & Beverage,"London, UK"
Epsilon Pharma 500,Sports,"London, UK"
Delta Foods 117,Technology,"London, UK"
Zeta Furnishings 319,Pharmaceuticals,"Berlin, Germany"
Kappa Sports 903,Food & Beverage,"Toronto, Canada"
Gamma Electronics 829,Retail,"Dubai, UAE"
Epsilon Pharma 587,Pharmaceuticals,"Dubai, UAE"
Gamma Electronics 690,Food & Beverage,"Berlin, Germany"
Beta Retail 680,Sports,"New York, USA"
Zeta Furnishings 850,Retail,"Toronto, Canada"
Omega Fashion 123,Books,"Mumbai, India"
Beta Retail 700,Sports,"New York, USA"
Omega Fashion 265,Retail,"Tokyo, Japan"
Omega Fashion 837,Books,"Mumbai, India"
Alpha Traders 849,Technology,"Paris, France"
Sigma Tech 905,Food & Beverage,"Berlin, Germany"
Kappa Sports 519,Fashion,"Sydney, Australia"
Sigma Tech 256,Sports,"Mumbai, India"
Lambda Books 248,Fashion,"Los Angeles, USA"
Alpha Traders 253,Pharmaceuticals,"Dubai, UAE"
Kappa Sports 988,Books,"Mumbai, India"
Lambda Books 519,Sports,"Dubai, UAE"
Lambda Books 236,Pharmaceuticals,"Toronto, Canada"
Alpha Traders 481,Fashion,"Mumbai, India"
Zeta Furnishings 638,Electronics,"Tokyo, Japan"
Delta Foods 382,Technology,"Tokyo, Japan"
Kappa Sports 830,Pharmaceuticals,"New York, USA"
Delta Foods 145,Retail,"Dubai, UAE"
Omega Fashion 920,Food & Beverage,"Tokyo, Japan"
Omega Fashion 817,Retail,"Los Angeles, USA"
Epsilon Pharma 507,Food & Beverage,"Mumbai, India"
Alpha Traders 835,Sports,"Tokyo, Japan"
Epsilon Pharma 526,Fashion,"Sydney, Australia"
Alpha Traders 264,Food & Beverage,"New York, USA"
Omega Fashion 844,Sports,"Dubai, UAE"
Omega Fashion 353,Food & Beverage,"Toronto, Canada"
Delta Foods 301,Electronics,"Tokyo, Japan"
Epsilon Pharma 311,Retail,"Berlin, Germany"
Beta Retail 682,Food & Beverage,"Berlin, Germany"
Omega Fashion 511,Sports,"New York, USA"
Gamma Electronics 608,Electronics,"Sydney, Australia"
Delta Foods 679,Pharmaceuticals,"Paris, France"
Sigma Tech 247,Pharmaceuticals,"Tokyo, Japan"
Sigma Tech 928,Sports,"London, UK"
Beta Retail 209,Sports,"Tokyo, Japan"
Gamma Electronics 502,Technology,"New York, USA"
Omega Fashion 298,Books,"New York, USA"
Alpha Traders 187,Books,"Sydney, Australia"
Lambda Books 186,Technology,"Sydney, Australia"
Kappa Sports 170,Retail,"Dubai, UAE"
Zeta Furnishings 523,Sports,"Toronto, Canada"
Delta Foods 540,Pharmaceuticals,"Tokyo, Japan"
Epsilon Pharma 361,Technology,"New York, USA"
Alpha Traders 603,Sports,"London, UK"
Gamma Electronics 552,Sports,"Paris, France"
Omega Fashion 860,Food & Beverage,"London, UK"
Epsilon Pharma 257,Pharmaceuticals,"New York, USA"
Sigma Tech 167,Retail,"Sydney, Australia"
Beta Retail 199,Pharmaceuticals,"New York, USA"
Omega Fashion 843,Food & Beverage,"Paris, France"
Delta Foods 115,Pharmaceuticals,"London, UK"
Delta Foods 504,Electronics,"Berlin, Germany"
Delta Foods 940,Food & Beverage,"Dubai, UAE"
Omega Fashion 391,Fashion,"New York, USA"
Gamma Electronics 207,Pharmaceuticals,"Tokyo, Japan"
Lambda Books 699,Fashion,"Sydney, Australia"
Epsilon Pharma 617,Food & Beverage,"Paris, France"
Lambda Books 241,Fashion,"Berlin, Germany"
Gamma Electronics 665,Fashion,"Berlin, Germany"
Lambda Books 811,Technology,"Sydney, Australia"
Delta Foods 162,Technology,"New York, USA"
Gamma Electronics 959,Electronics,"New York, USA"
Lambda Books 437,Food & Beverage,"New York, USA"
Epsilon Pharma 382,Pharmaceuticals,"Berlin, Germany"
Sigma Tech 383,Technology,"Dubai, UAE"
Zeta Furnishings 454,Electronics,"Dubai, UAE"
Gamma Electronics 386,Retail,"Tokyo, Japan"
Alpha Traders 601,Books,"Paris, France"
Alpha Traders 636,Technology,"London, UK"
Lambda Books 305,Books,"Mumbai, India"
Epsilon Pharma 824,Technology,"Mumbai, India"
Zeta Furnishings 887,Electronics,"Mumbai, India"
Epsilon Pharma 220,Fashion,"Toronto, Canada"
Sigma Tech 506,Sports,"New York, USA"
Zeta Furnishings 765,Sports,"Paris, France"
Beta Retail 334,Retail,"Los Angeles, USA"
Delta Foods 440,Pharmaceuticals,"New York, USA"
Beta Retail 358,Technology,"Berlin, Germany"
Alpha Traders 765,Pharmaceuticals,"Toronto, Canada"
Alpha Traders 463,Fashion,"New York, USA"
Gamma Electronics 896,Fashion,"New York, USA"
Omega Fashion 786,Fashion,"Berlin, Germany"
Epsilon Pharma 521,Sports,"Mumbai, India"
Alpha Traders 298,Books,"Tokyo, Japan"
Delta Foods 365,Books,"Paris, France"
Sigma Tech 949,Fashion,"Toronto, Canada"
Kappa Sports 904,Food & Beverage,"New York, USA"
Kappa Sports 279,Fashion,"Los Angeles, USA"
Lambda Books 941,Technology,"Mumbai, India"
Zeta Furnishings 857,Food & Beverage,"Dubai, UAE"
Lambda Books 115,Sports,"Dubai, UAE"
Delta Foods 169,Electronics,"Tokyo, Japan"
Alpha Traders 849,Food & Beverage,"Berlin, Germany"
Alpha Traders 664,Retail,"Paris, France"
Gamma Electronics 652,Retail,"Berlin, Germany"
Delta Foods 482,Sports,"Los Angeles, USA"
Beta Retail 760,Fashion,"London, UK"
Zeta Furnishings 636,Technology,"Sydney, Australia"
Zeta Furnishings 242,Electronics,"Dubai, UAE"
Gamma Electronics 660,Pharmaceuticals,"Tokyo, Japan"
Kappa Sports 572,Books,"London, UK"
Zeta Furnishings 189,Retail,"Los Angeles, USA"
Epsilon Pharma 716,Fashion,"Sydney, Australia"
Omega Fashion 506,Books,"London, UK"
Omega Fashion 736,Technology,"Tokyo, Japan"
Kappa Sports 371,Technology,"Paris, France"
Gamma Electronics 116,Pharmaceuticals,"Tokyo, Japan"
Delta Foods 816,Technology,"Los Angeles, USA"
Omega Fashion 690,Electronics,"Sydney, Australia"
Sigma Tech 712,Electronics,"Tokyo, Japan"
Sigma Tech 917,Technology,"Sydney, Australia"
Sigma Tech 808,Food & Beverage,"Toronto, Canada"
Lambda Books 146,Food & Beverage,"Sydney, Australia"
Epsilon Pharma 109,Technology,"Tokyo, Japan"
Epsilon Pharma 697,Retail,"Sydney, Australia"
Lambda Books 891,Retail,"Mumbai, India"
Kappa Sports 670,Electronics,"Tokyo, Japan"
Gamma Electronics 524,Retail,"Mumbai, India"
Gamma Electronics 256,Sports,"Paris, France"
Beta Retail 730,Pharmaceuticals,"Berlin, Germany"
Epsilon Pharma 345,Fashion,"Mumbai, India"
Sigma Tech 280,Books,"Berlin, Germany"
Gamma Electronics 940,Retail,"Mumbai, India"
Omega Fashion 154,Fashion,"New York, USA"
Delta Foods 510,Electronics,"Paris, France"
Beta Retail 184,Retail,"Tokyo, Japan"
Delta Foods 509,Fashion,"Paris, France"
Delta Foods 773,Fashion,"Sydney, Australia"
Alpha Traders 933,Books,"Dubai, UAE"
Sigma Tech 600,Fashion,"Los Angeles, USA"
Zeta Furnishings 523,Sports,"Los Angeles, USA"
Sigma Tech 756,Fashion,"Los Angeles, USA"
Beta Retail 438,Books,"Toronto, Canada"
Sigma Tech 290,Books,"Dubai, UAE"
Gamma Electronics 280,Pharmaceuticals,"Dubai, UAE"
Lambda Books 315,Books,"Berlin, Germany"
Gamma Electronics 823,Fashion,"Mumbai, India"
Delta Foods 677,Sports,"Sydney, Australia"
Sigma Tech 973,Sports,"London, UK"
Omega Fashion 806,Electronics,"Mumbai, India"
Epsilon Pharma 246,Pharmaceuticals,"Mumbai, India"
Alpha Traders 917,Pharmaceuticals,"Toronto, Canada"
Beta Retail 933,Fashion,"Paris, France"
Epsilon Pharma 119,Pharmaceuticals,"Sydney, Australia"
Sigma Tech 517,Technology,"London, UK"
Beta Retail 775,Electronics,"Berlin, Germany"
Beta Retail 109,Sports,"Dubai, UAE"
Gamma Electronics 535,Food & Beverage,"Dubai, UAE"
Kappa Sports 273,Retail,"Paris, France"
Lambda Books 633,Retail,"Berlin, Germany"
Alpha Traders 291,Food & Beverage,"Dubai, UAE"
Beta Retail 109,Technology,"Berlin, Germany"
Omega Fashion 310,Food & Beverage,"Mumbai, India"
Omega Fashion 870,Pharmaceuticals,"Sydney, Australia"
Lambda Books 230,Technology,"New York, USA"
Epsilon Pharma 106,Retail,"Toronto, Canada"
Lambda Books 686,Sports,"Paris, France"
Gamma Electronics 377,Books,"Dubai, UAE"
Sigma Tech 828,Books,"Paris, France"
Alpha Traders 509,Pharmaceuticals,"Tokyo, Japan"
Epsilon Pharma 948,Technology,"Mumbai, India"
Kappa Sports 216,Food & Beverage,"Los Angeles, USA"
Delta Foods 331,Fashion,"Tokyo, Japan"
Gamma Electronics 675,Technology,"Los Angeles, USA"
Delta Foods 201,Pharmaceuticals,"New York, USA"
Lambda Books 375,Sports,"Paris, France"
Zeta Furnishings 217,Pharmaceuticals,"London, UK"
Omega Fashion 364,Sports,"Los Angeles, USA"
Delta Foods 991,Fashion,"Toronto, Canada"
Epsilon Pharma 946,Technology,"Paris, France"
Kappa Sports 980,Technology,"Sydney, Australia"
Alpha Traders 281,Electronics,"Paris, France"
Delta Foods 711,Pharmaceuticals,"Berlin, Germany"
Zeta Furnishings 398,Sports,"Toronto, Canada"
Epsilon Pharma 613,Retail,"Toronto, Canada"
Zeta Furnishings 802,Fashion,"Los Angeles, USA"
Delta Foods 714,Technology,"Dubai, UAE"
Beta Retail 390,Electronics,"Los Angeles, USA"
Gamma Electronics 377,Pharmaceuticals,"London, UK"
Gamma Electronics 571,Pharmaceuticals,"Berlin, Germany"
Sigma Tech 195,Books,"Dubai, UAE"
Lambda Books 911,Fashion,"Sydney, Australia"
Delta Foods 434,Technology,"Paris, France"
Beta Retail 968,Electronics,"New York, USA"
Gamma Electronics 206,Retail,"Berlin, Germany"
Gamma Electronics 231,Food & Beverage,"London, UK"
Delta Foods 683,Books,"Los Angeles, USA"
Gamma Electronics 608,Retail,"Berlin, Germany"
Lambda Books 287,Books,"Dubai, UAE"
Epsilon Pharma 739,Electronics,"Tokyo, Japan"
Beta Retail 158,Pharmaceuticals,"Mumbai, India"
Sigma Tech 775,Technology,"Dubai, UAE"
Sigma Tech 124,Sports,"Tokyo, Japan"
Gamma Electronics 768,Electronics,"New York, USA"
Gamma Electronics 875,Fashion,"Dubai, UAE"
Beta Retail 357,Electronics,"Berlin, Germany"
Kappa Sports 569,Books,"Dubai, UAE"
Lambda Books 195,Technology,"Sydney, Australia"
Omega Fashion 970,Food & Beverage,"Tokyo, Japan"
Kappa Sports 319,Technology,"Mumbai, India"
Gamma Electronics 585,Pharmaceuticals,"Los Angeles, USA"
Zeta Furnishings 230,Sports,"Paris, France"
Kappa Sports 817,Food & Beverage,"Los Angeles, USA"
Kappa Sports 117,Fashion,"Tokyo, Japan"
Beta Retail 472,Electronics,"Sydney, Australia"
Kappa Sports 105,Books,"Berlin, Germany"
Gamma Electronics 680,Fashion,"Dubai, UAE"
Delta Foods 306,Retail,"London, UK"
Delta Foods 287,Pharmaceuticals,"Tokyo, Japan"
Omega Fashion 805,Pharmaceuticals,"Toronto, Canada"
Kappa Sports 289,Food & Beverage,"Mumbai, India"
Lambda Books 928,Retail,"Toronto, Canada"
Omega Fashion 914,Pharmaceuticals,"London, UK"
Zeta Furnishings 296,Electronics,"Los Angeles, USA"
Epsilon Pharma 329,Food & Beverage,"Toronto, Canada"
Sigma Tech 988,Sports,"Paris, France"
Gamma Electronics 434,Sports,"London, UK"
Zeta Furnishings 686,Technology,"Paris, France"
Gamma Electronics 201,Books,"Los Angeles, USA"
Kappa Sports 731,Pharmaceuticals,"Paris, France"
Sigma Tech 382,Food & Beverage,"Los Angeles, USA"
Kappa Sports 131,Technology,"London, UK"
Gamma Electronics 835,Technology,"Paris, France"
Kappa Sports 724,Food & Beverage,"Berlin, Germany"
Alpha Traders 162,Electronics,"Sydney, Australia"
Epsilon Pharma 683,Retail,"Sydney, Australia"
Sigma Tech 564,Food & Beverage,"Mumbai, India"
Sigma Tech 517,Electronics,"Paris, France"
Omega Fashion 870,Retail,"London, UK"
Alpha Traders 842,Fashion,"Paris, France"
Alpha Traders 651,Retail,"Paris, France"
Kappa Sports 318,Books,"Paris, France"
Alpha Traders 109,Fashion,"London, UK"
Epsilon Pharma 743,Pharmaceuticals,"Los Angeles, USA"
Delta Foods 991,Technology,"Toronto, Canada"
Beta Retail 416,Books,"London, UK"
Gamma Electronics 836,Books,"Paris, France"
Gamma Electronics 502,Electronics,"London, UK"
Epsilon Pharma 522,Food & Beverage,"Paris, France"
Lambda Books 366,Electronics,"New York, USA"
Alpha Traders 705,Pharmaceuticals,"New York, USA"
Beta Retail 384,Sports,"Sydney, Australia"
Lambda Books 733,Fashion,"Los Angeles, USA"
Delta Foods 192,Retail,"Paris, France"
Delta Foods 284,Pharmaceuticals,"Paris, France"
Kappa Sports 533,Fashion,"Los Angeles, USA"
Zeta Furnishings 103,Electronics,"Toronto, Canada"
Gamma Electronics 823,Books,"Tokyo, Japan"
Kappa Sports 888,Books,"Tokyo, Japan"
Sigma Tech 688,Retail,"Toronto, Canada"
Epsilon Pharma 987,Technology,"Tokyo, Japan"
Lambda Books 130,Electronics,"Toronto, Canada"
Sigma Tech 484,Food & Beverage,"London, UK"
Delta Foods 399,Fashion,"London, UK"
Gamma Electronics 699,Electronics,"Los Angeles, USA"
Gamma Electronics 696,Sports,"Toronto, Canada"
Lambda Books 919,Technology,"Paris, France"
Zeta Furnishings 297,Electronics,"New York, USA"
Omega Fashion 687,Pharmaceuticals,"Toronto, Canada"
Gamma Electronics 225,Sports,"Mumbai, India"
Lambda Books 757,Pharmaceuticals,"Berlin, Germany"
Zeta Furnishings 597,Fashion,"New York, USA"
Gamma Electronics 707,Books,"Dubai, UAE"
Delta Foods 838,Electronics,"Toronto, Canada"
Alpha Traders 873,Fashion,"Paris, France"
Kappa Sports 756,Pharmaceuticals,"Tokyo, Japan"
Delta Foods 536,Fashion,"New York, USA"
Alpha Traders 402,Pharmaceuticals,"Dubai, UAE"
Zeta Furnishings 651,Books,"New York, USA"
Kappa Sports 798,Books,"Toronto, Canada"
Delta Foods 814,Electronics,"Sydney, Australia"
Delta Foods 517,Fashion,"Dubai, UAE"
Kappa Sports 676,Sports,"Paris, France"
Gamma Electronics 743,Food & Beverage,"New York, USA"
Beta Retail 168,Pharmaceuticals,"Sydney, Australia"
Gamma Electronics 253,Fashion,"New York, USA"
Alpha Traders 238,Pharmaceuticals,"Berlin, Germany"
Delta Foods 508,Retail,"New York, USA"
Kappa Sports 149,Fashion,"Berlin, Germany"
Kappa Sports 307,Books,"Sydney, Australia"
Alpha Traders 226,Sports,"Berlin, Germany"
Kappa Sports 251,Books,"Berlin, Germany"
Omega Fashion 628,Technology,"Berlin, Germany"
Omega Fashion 612,Technology,"Dubai, UAE"
Gamma Electronics 858,Technology,"Tokyo, Japan"
Omega Fashion 284,Electronics,"New York, USA"
Beta Retail 255,Food & Beverage,"Berlin, Germany"
Kappa Sports 774,Technology,"New York, USA"
Lambda Books 316,Retail,"New York, USA"
Beta Retail 223,Books,"New York, USA"
Alpha Traders 547,Fashion,"New York, USA"
Sigma Tech 498,Books,"Tokyo, Japan"
Gamma Electronics 205,Electronics,"Mumbai, India"
Epsilon Pharma 774,Sports,"Mumbai, India"
Zeta Furnishings 144,Technology,"Tokyo, Japan"
Zeta Furnishings 348,Books,"Dubai, UAE"
Zeta Furnishings 371,Pharmaceuticals,"Tokyo, Japan"
Lambda Books 560,Fashion,"Dubai, UAE"
Zeta Furnishings 342,Technology,"London, UK"
Zeta Furnishings 238,Pharmaceuticals,"Tokyo, Japan"
Alpha Traders 964,Books,"Paris, France"
Kappa Sports 382,Sports,"New York, USA"
Gamma Electronics 585,Sports,"Mumbai, India"
Lambda Books 334,Food & Beverage,"Paris, France"
Alpha Traders 957,Technology,"Mumbai, India"
Alpha Traders 368,Electronics,"Dubai, UAE"
Omega Fashion 912,Books,"Mumbai, India"
Omega Fashion 152,Books,"Berlin, Germany"
Zeta Furnishings 200,Sports,"London, UK"
Sigma Tech 420,Fashion,"London, UK"
Delta Foods 148,Technology,"Tokyo, Japan"
Gamma Electronics 753,Food & Beverage,"New York, USA"
Epsilon Pharma 920,Food & Beverage,"Mumbai, India"
Sigma Tech 626,Electronics,"Sydney, Australia"
Omega Fashion 693,Technology,"Los Angeles, USA"
Alpha Traders 326,Food & Beverage,"Paris, France"
Sigma Tech 351,Pharmaceuticals,"Mumbai, India"
Kappa Sports 791,Books,"Paris, France"
Kappa Sports 392,Food & Beverage,"Sydney, Australia"
Kappa Sports 371,Books,"Mumbai, India"
Epsilon Pharma 367,Electronics,"Paris, France"
Epsilon Pharma 936,Technology,"London, UK"
Lambda Books 764,Retail,"Los Angeles, USA"
Epsilon Pharma 890,Pharmaceuticals,"Paris, France"
Lambda Books 511,Retail,"New York, USA"
Omega Fashion 615,Food & Beverage,"Toronto, Canada"
Epsilon Pharma 211,Retail,"Los Angeles, USA"
Delta Foods 755,Fashion,"Tokyo, Japan"
Omega Fashion 159,Electronics,"Paris, France"
Delta Foods 632,Sports,"Berlin, Germany"
Lambda Books 435,Fashion,"Toronto, Canada"
Beta Retail 871,Food & Beverage,"Toronto, Canada"
Beta Retail 534,Technology,"Tokyo, Japan"
Zeta Furnishings 111,Books,"London, UK"
Zeta Furnishings 333,Sports,"Toronto, Canada"
Beta Retail 864,Pharmaceuticals,"Los Angeles, USA"
Delta Foods 462,Books,"Paris, France"
Omega Fashion 203,Books,"Dubai, UAE"
Kappa Sports 509,Pharmaceuticals,"New York, USA"
Beta Retail 760,Electronics,"Mumbai, India"
Omega Fashion 748,Food & Beverage,"London, UK"
Beta Retail 232,Food & Beverage,"Toronto, Canada"
Delta Foods 214,Technology,"Sydney, Australia"
Epsilon Pharma 254,Books,"Sydney, Australia"
Alpha Traders 958,Electronics,"Berlin, Germany"
Zeta Furnishings 460,Sports,"Toronto, Canada"
Zeta Furnishings 341,Fashion,"London, UK"
Sigma Tech 532,Food & Beverage,"Dubai, UAE"
Epsilon Pharma 328,Food & Beverage,"Berlin, Germany"
Omega Fashion 111,Technology,"New York, USA"
Alpha Traders 572,Sports,"Toronto, Canada"
Omega Fashion 390,Retail,"Mumbai, India"
Delta Foods 353,Food & Beverage,"Sydney, Australia"
Omega Fashion 260,Retail,"Toronto, Canada"
Zeta Furnishings 911,Technology,"Los Angeles, USA"
Gamma Electronics 115,Fashion,"Dubai, UAE"
Delta Foods 178,Fashion,"Berlin, Germany"
Lambda Books 210,Technology,"Mumbai, India"
Delta Foods 245,Technology,"Tokyo, Japan"
Kappa Sports 947,Fashion,"New York, USA"
Lambda Books 349,Pharmaceuticals,"Los Angeles, USA"
Delta Foods 511,Electronics,"Paris, France"
Lambda Books 679,Books,"Los Angeles, USA"
Omega Fashion 608,Books,"Dubai, UAE"
Zeta Furnishings 167,Sports,"Paris, France"
Omega Fashion 543,Pharmaceuticals,"Mumbai, India"
Beta Retail 481,Pharmaceuticals,"Toronto, Canada"
Lambda Books 437,Electronics,"London, UK"
Omega Fashion 548,Technology,"Dubai, UAE"
Epsilon Pharma 854,Technology,"London, UK"
Zeta Furnishings 947,Books,"Dubai, UAE"
Epsilon Pharma 229,Sports,"Paris, France"
Beta Retail 280,Sports,"Toronto, Canada"
Zeta Furnishings 451,Sports,"Tokyo, Japan"
Zeta Furnishings 289,Food & Beverage,"Mumbai, India"
Alpha Traders 128,Technology,"Dubai, UAE"
Delta Foods 805,Food & Beverage,"London, UK"
Beta Retail 439,Electronics,"Paris, France"
Gamma Electronics 569,Pharmaceuticals,"Paris, France"
Delta Foods 678,Electronics,"London, UK"
Gamma Electronics 236,Electronics,"Dubai, UAE"
Delta Foods 823,Books,"Paris, France"
Beta Retail 943,Pharmaceuticals,"Berlin, Germany"
Omega Fashion 124,Food & Beverage,"London, UK"
Sigma Tech 280,Sports,"Berlin, Germany"
Epsilon Pharma 329,Books,"New York, USA"
